# Comments start with a hashtag because of how CSV is read,,,,
Organization,Acronym,Website,Keywords,Type
Society of Asian Scientists and Engineers,SASE,https://www.saseconnect.org/,"science, engineering, AAPI",Organization
Society of Black Academic Surgeons,SBAS,https://www.sbas.net/,"medicine, Black",Organization
Society of Hispanic Professional Engineers,SHPE,https://www.shpe.org/,,Organization
Society of Mexican American Engineers and Scientists (Latinos in Science and Engineering),MAES,https://mymaes.org/,"science, engineering, Latinx",Organization
Society of Physics Students,SPS,https://www.spsnational.org/,"physics, students",Organization
Society of Women Engineers,SWE,https://swe.org/,"engineering, women",Organization
Society of Women in Space Exploration,SWISE,https://www.swise.org/,"astronomy, women",Organization
Society of Latinxs/Hispanics in Earth and Space Science,SOLESS,https://ciresdiversity.colorado.edu/soless,,Organization
Soil Science Society of America,SSSA,https://www.soils.org/,agronomy,Organization
Student National Medical Association,SNMA,https://snma.org/,"medicine, students",Organization
Student Osteopathic Medical Association,SOMA,https://studentdo.org/,"medicine, students",Organization
The Electrochemical Society,,https://www.electrochem.org/,,Organization
White Coats for Black Lives,,https://whitecoats4blacklives.org/,"medicine, Black",Organization
Women in Cognitive Science,,http://womenincogsci.org/,"neuroscience, psychology, women",Organization
Women in Medicine,,https://womeninmedicine.org/,"medicine, women",Organization
Women of Color Research Network,WoCRN,https://womeninscience.nih.gov/women-of-color/,,Organization
# Switch to LGBTQ+ STEM Orgs,,,,
EngiQueers Canada,,https://www.engiqueers.ca/,"engineering, LGBTQ",LGBTQ+ Abroad
House of STEM,,https://houseofstem.org/,LGBTQ,LGBTQ+ Abroad
InterEngineering,,https://interengineeringlgbt.com/,"engineering, LGBTQ",LGBTQ+ Abroad
LGBT+ Physics,,https://twitter.com/lgbt_physics?lang=en,"physics, LGBTQ",LGBTQ+ Abroad
LGBTQ STEM,,https://lgbtstem.wordpress.com/,LGBTQ,LGBTQ+ Abroad
LGBTQ STEM Berlin,,https://www.facebook.com/lgbtqstemberlin,LGBTQ,LGBTQ+ Abroad
Pride in STEM,,https://prideinstem.org/,LGBTQ,LGBTQ+ Abroad
